id,name,unique_name,ipl_debut,specialization,date_of_birth,matches,nationality
4b0e3049,AA Alleyne,AA Alleyne,,,,,
29d72eb2,Ankeet Chavan,AA Chavan,2011,Batter,28 October 1985,13,Indian
4ed49d3d,Akhil Herwadkar,AA Herwadkar,,N/A,31 October 1994,0,Indian
2815fe50,Abhishek Jhunjhunwala,AA Jhunjhunwala,2010,Batter,01 December 1982,21,Indian
907d6e58,Aamer Yamin,Aamer Yamin,,,,,
2c3afa34,Aamir Gani,Aamir Gani,,,,,
7ecb9a14,Aamir Kaleem,Aamir Kaleem,,,,,
82c528b2,AA Mulla,AA Mulla,,,,,
7081491e,,AA Obanda,,,,,
7c1ba524,Anuja Patil,AA Patil,,N/A,28 June 1992,0,Indian
70d57519,AAP Atkinson,AAP Atkinson,,,,,
cd4d7695,Aarif Sheikh,Aarif Sheikh,,,,,
eab74985,Aaron Beard,AP Beard,,,,,
1c2a64cd,Ashish Reddy,A Ashish Reddy,2012,Bowler,24 February 1981,31,Indian
112959b2,A Bagai,A Bagai,,,,,
fa463154,Ajit Agarkar,AB Agarkar,2008,Bowling All-rounder,04 December 1977,42,Indian
6ef13460,A Balbirnie,A Balbirnie,,,,,
d3a3e82d,Adrian Barath,AB Barath,,N/A,14 April 1990,3,West Indian
c4487b84,AB de Villiers,AB de Villiers,2008,Wicketkeeper Batter,17 February 1984,184,South African
66b30f71,Ashok Dinda,AB Dinda,2008,Bowler,25 March 1984,78,Indian
705a05c8,Abdul Halim,Abdul Halim,,,,,
fc2fffb5,Abdullah Shafique,Abdullah Shafique,,,,,
390ff45b,Abdul Razzaq,Abdul Razzaq,,,,,
8e514b4c,Abdul Samad,Abdul Samad,2020,Batter,28 October 2001,50,Indian
888e32bf,Abdur Razzak,Abdur Razzak,,N/A,15 June 1982,1,Bangladeshi
d094e7d1,Abdur Rehman,Abdur Rehman,,,,,
f29185a1,Abhishek Sharma,Abhishek Sharma,2018,All-rounder,04 September 2000,63,Indian
5d836a72,Abid Ali,Abid Ali,,,,,
16043342,Andrew McDonald,AB McDonald,2009,All-rounder,05 June 1981,11,Australian
dcf0e8f4,A Bosch,A Bosch,,,,,
053dc208,A Brindle,A Brindle,,,,,
31803fac,Abu Hider,Abu Hider,,,,,
1bb0993e,Abu Jayed,Abu Jayed,,,,,
5c756df3,Abul Hasan,Abul Hasan,,,,,
